Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
148,Russell Westbrook\westbru01,27-349,G,2016-10-26,OKC,@,PHI,W,1,36,11,21,.524,10,19,.526,1,2,.500,9,11,.818,1,11,12,9,0,0,2,2,32,28.4
149,Giannis Antetokounmpo\antetgi01,21-124,F-G,2016-04-08,MIL,@,BOS,L,1,27,8,12,.667,4,7,.571,4,5,.800,7,8,.875,0,7,7,7,1,1,5,5,27,23.1
150,Evan Fournier\fournev01,23-162,G-F,2016-04-08,ORL,,MIA,W,1,46,7,12,.583,5,9,.556,2,3,.667,12,15,.800,1,6,7,7,1,0,3,5,28,24.6
151,Rajon Rondo\rondora01,30-043,G,2016-04-05,SAC,,POR,L,1,42,11,17,.647,8,13,.615,3,4,.750,2,3,.667,0,10,10,12,2,0,2,4,27,28.9
152,LeBron James\jamesle01,31-095,F-G,2016-04-03,CLE,,CHO,W,1,41,14,22,.636,14,22,.636,0,0,,3,3,1.000,3,5,8,12,2,0,5,4,31,28.6
153,Jimmy Butler\butleji01,26-201,G-F,2016-04-02,CHI,,DET,L,1,39,10,25,.400,9,18,.500,1,7,.143,7,8,.875,5,12,17,12,3,2,3,4,28,29.4
154,LeBron James\jamesle01,31-093,F-G,2016-04-01,CLE,@,ATL,W,1,44,12,26,.462,11,21,.524,1,5,.200,4,5,.800,3,13,16,9,3,1,3,4,29,26.6
155,Kevin Durant\duranke01,27-181,F-G,2016-03-28,OKC,@,TOR,W,1,37,11,27,.407,8,17,.471,3,10,.300,9,10,.900,1,7,8,8,1,1,1,1,34,27.8
156,James Harden\hardeja01,26-214,G,2016-03-27,HOU,@,IND,L,1,44,11,22,.500,7,11,.636,4,11,.364,8,11,.727,0,8,8,8,1,0,5,1,34,25.4
157,LeBron James\jamesle01,31-087,F-G,2016-03-26,CLE,@,NYK,W,1,36,10,21,.476,8,18,.444,2,3,.667,5,6,.833,3,8,11,11,1,2,2,4,27,26.9
158,Stephen Curry\curryst01,28-011,G,2016-03-25,GSW,,DAL,W,1,35,9,18,.500,4,6,.667,5,12,.417,10,11,.909,0,8,8,8,4,0,3,0,33,32.6
159,James Harden\hardeja01,26-212,G,2016-03-25,HOU,,TOR,W,1,42,11,22,.500,8,15,.533,3,7,.429,7,10,.700,0,10,10,13,1,1,7,3,32,25.4
