Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
623,Vince Carter\cartevi01,31-345,G-F,2009-01-05,NJN,,SAC,W,1,39,9,18,.500,7,14,.500,2,4,.500,9,11,.818,1,8,9,7,0,0,4,3,29,22.0
624,Andre Iguodala\iguodan01,24-338,G-F,2008-12-31,PHI,@,LAC,W,1,44,7,16,.438,7,13,.538,0,3,.000,14,17,.824,1,6,7,7,2,0,1,2,28,26.0
625,Stephen Jackson\jacksst02,30-268,F-G,2008-12-29,GSW,,TOR,W,1,48,9,20,.450,7,14,.500,2,6,.333,10,10,1.000,3,4,7,7,2,2,4,4,30,25.6
626,Josh Howard\howarjo01,28-244,F-G,2008-12-28,DAL,@,LAC,W,1,35,10,20,.500,5,12,.417,5,8,.625,4,4,1.000,1,8,9,7,1,2,2,4,29,25.8
627,Dwyane Wade\wadedw01,26-341,G,2008-12-23,MIA,,GSW,W,1,38,13,25,.520,13,20,.650,0,5,.000,6,10,.600,1,7,8,8,3,3,2,3,32,28.4
628,LeBron James\jamesle01,23-355,F-G,2008-12-19,CLE,@,DEN,W,1,39,13,20,.650,13,18,.722,0,2,.000,7,8,.875,3,7,10,8,0,0,6,3,33,26.4
629,Jason Terry\terryja01,31-093,G,2008-12-17,DAL,@,TOR,W,0,35,10,16,.625,6,7,.857,4,9,.444,3,4,.750,0,7,7,8,0,0,0,1,27,26.7
630,LeBron James\jamesle01,23-348,F-G,2008-12-12,CLE,,PHI,W,1,37,9,21,.429,8,17,.471,1,4,.250,9,12,.750,3,4,7,7,1,3,0,2,28,26.2
631,Devin Harris\harride01,25-277,G,2008-11-30,NJN,@,PHO,W,1,41,14,25,.560,12,22,.545,2,3,.667,17,17,1.000,1,6,7,8,1,0,4,2,47,39.4
632,Chris Bosh\boshch01,24-249,F-C,2008-11-28,TOR,,ATL,W,1,44,13,26,.500,13,24,.542,0,2,.000,4,5,.800,1,9,10,7,0,3,2,3,30,23.8
633,Chris Paul\paulch01,23-200,G,2008-11-22,NOH,,OKC,W,1,44,11,17,.647,10,16,.625,1,1,1.000,6,7,.857,0,10,10,16,3,1,2,2,29,36.2
634,Chris Paul\paulch01,23-190,G,2008-11-12,NOH,,LAL,L,1,42,13,19,.684,13,18,.722,0,1,.000,4,6,.667,1,6,7,13,2,0,2,5,30,30.7
635,Allen Iverson\iversal01,33-157,G,2008-11-11,DET,@,SAC,W,1,46,9,19,.474,6,14,.429,3,5,.600,9,10,.900,1,6,7,9,2,0,3,1,30,27.3
636,LeBron James\jamesle01,23-313,F-G,2008-11-07,CLE,,IND,W,1,39,11,24,.458,10,18,.556,1,6,.167,4,7,.571,2,7,9,8,1,4,4,2,27,21.5
637,Dwyane Wade\wadedw01,26-295,G,2008-11-07,MIA,@,SAS,W,1,36,14,25,.560,14,24,.583,0,1,.000,5,6,.833,2,8,10,9,3,0,3,1,33,30.4
638,Tracy McGrady\mcgratr01,29-166,F-G,2008-11-06,HOU,@,POR,L,1,44,11,23,.478,11,21,.524,0,2,.000,8,10,.800,1,6,7,8,2,1,2,0,30,26.3
639,Tony Parker\parketo01,26-172,G,2008-11-05,SAS,@,MIN,W,1,51,22,36,.611,20,33,.606,2,3,.667,9,10,.900,0,7,7,10,0,0,4,0,55,43.3
640,Jason Kidd\kiddja01,35-024,G,2008-04-16,DAL,,NOH,W,1,37,9,14,.643,4,6,.667,5,8,.625,4,4,1.000,4,6,10,10,0,0,1,2,27,30.6
641,Allen Iverson\iversal01,32-311,G,2008-04-13,DEN,,HOU,W,1,42,13,20,.650,12,16,.750,1,4,.250,6,11,.545,0,7,7,7,4,1,4,0,33,29.9
642,Kobe Bryant\bryanko01,29-232,G-F,2008-04-11,LAL,,NOH,W,1,43,9,17,.529,6,10,.600,3,7,.429,8,10,.800,1,9,10,8,2,0,1,3,29,28.7
643,LeBron James\jamesle01,23-101,F-G,2008-04-09,CLE,,NJN,W,1,35,11,21,.524,10,17,.588,1,4,.250,10,13,.769,4,3,7,8,1,2,0,2,33,32.4
644,Kevin Durant\duranke01,19-190,F-G,2008-04-06,SEA,,DEN,W,1,51,11,24,.458,9,20,.450,2,4,.500,13,13,1.000,0,8,8,9,3,0,5,2,37,30.5
645,Kobe Bryant\bryanko01,29-223,G-F,2008-04-02,LAL,,POR,W,1,41,10,16,.625,6,11,.545,4,5,.800,12,13,.923,2,11,13,7,3,0,1,3,36,38.8
646,Joe Johnson\johnsjo02,26-278,G-F,2008-04-02,ATL,,TOR,W,1,48,11,21,.524,8,14,.571,3,7,.429,3,4,.750,2,5,7,11,1,0,5,1,28,23.5
647,Carmelo Anthony\anthoca01,23-303,F,2008-03-27,DEN,,DAL,W,1,37,11,20,.550,11,18,.611,0,2,.000,10,14,.714,3,7,10,8,2,0,3,4,32,28.0
648,Kobe Bryant\bryanko01,29-214,G-F,2008-03-24,LAL,@,GSW,W,1,52,11,30,.367,10,25,.400,1,5,.200,7,7,1.000,2,9,11,7,1,0,3,4,30,18.8
649,Baron Davis\davisba01,28-346,G,2008-03-24,GSW,,LAL,L,1,53,12,28,.429,9,19,.474,3,9,.333,3,4,.750,3,6,9,7,4,0,4,3,30,22.4
650,Kobe Bryant\bryanko01,29-213,G-F,2008-03-23,LAL,,GSW,L,1,46,13,30,.433,10,21,.476,3,9,.333,7,7,1.000,2,12,14,8,1,0,3,4,36,27.2
651,Tracy McGrady\mcgratr01,28-303,F-G,2008-03-22,HOU,@,PHO,L,1,39,11,31,.355,10,26,.385,1,5,.200,7,12,.583,2,6,8,9,1,1,3,1,30,18.5
652,Kobe Bryant\bryanko01,29-210,G-F,2008-03-20,LAL,@,UTA,W,1,41,11,24,.458,11,22,.500,0,2,.000,5,9,.556,2,6,8,7,1,0,3,3,27,17.9
653,Vince Carter\cartevi01,31-053,G-F,2008-03-19,NJN,,ATL,W,1,44,17,26,.654,15,23,.652,2,3,.667,3,4,.750,2,8,10,8,0,1,0,3,39,36.1
654,LeBron James\jamesle01,23-077,F-G,2008-03-16,CLE,,CHA,W,1,42,11,24,.458,10,21,.476,1,3,.333,10,16,.625,2,5,7,10,1,2,1,2,33,28.7
655,Baron Davis\davisba01,28-335,G,2008-03-13,GSW,@,PHO,L,1,46,15,30,.500,9,19,.474,6,11,.545,2,4,.500,2,7,9,8,3,1,2,2,38,32.2
656,LeBron James\jamesle01,23-073,F-G,2008-03-12,CLE,@,NJN,L,1,46,12,23,.522,10,16,.625,2,7,.286,16,23,.696,3,8,11,7,1,2,6,5,42,31.7
657,Kobe Bryant\bryanko01,29-201,G-F,2008-03-11,LAL,,TOR,W,1,47,12,20,.600,8,12,.667,4,8,.500,6,6,1.000,1,6,7,7,4,1,4,3,34,31.7
658,LeBron James\jamesle01,23-066,F-G,2008-03-05,CLE,@,NYK,W,1,44,16,30,.533,9,17,.529,7,13,.538,11,16,.688,1,7,8,10,4,0,2,3,50,44.0
659,LeBron James\jamesle01,23-061,F-G,2008-02-29,CLE,,MIN,W,1,44,11,22,.500,10,18,.556,1,4,.250,7,9,.778,2,6,8,13,2,0,3,2,30,28.7
660,Kobe Bryant\bryanko01,29-187,G-F,2008-02-26,LAL,,POR,W,1,45,11,25,.440,10,21,.476,1,4,.250,7,8,.875,1,8,9,7,2,0,3,5,30,21.5
661,LeBron James\jamesle01,23-054,F-G,2008-02-22,CLE,,WAS,W,1,45,11,20,.550,9,14,.643,2,6,.333,9,14,.643,3,12,15,8,1,1,3,1,33,31.0
662,Joe Johnson\johnsjo02,26-238,G-F,2008-02-22,ATL,@,GSW,W,1,42,10,22,.455,7,18,.389,3,4,.750,4,6,.667,5,3,8,8,0,0,2,1,27,22.4
663,Vince Carter\cartevi01,31-025,G-F,2008-02-20,NJN,,CHI,W,1,46,11,21,.524,7,16,.438,4,5,.800,7,9,.778,3,6,9,7,2,0,3,4,33,28.1
664,LeBron James\jamesle01,23-052,F-G,2008-02-20,CLE,@,IND,W,1,43,11,22,.500,10,17,.588,1,5,.200,8,12,.667,2,12,14,12,2,1,4,1,31,30.1
665,Allen Iverson\iversal01,32-257,G,2008-02-19,DEN,,BOS,W,1,45,7,16,.438,7,15,.467,0,1,.000,14,20,.700,1,6,7,9,0,0,4,3,28,20.8
666,Dwyane Wade\wadedw01,26-028,G,2008-02-14,MIA,@,CHI,L,1,42,11,21,.524,9,17,.529,2,4,.500,6,8,.750,1,6,7,7,2,0,6,4,30,20.7
667,Andre Iguodala\iguodan01,24-016,G-F,2008-02-13,PHI,,MEM,W,1,38,13,25,.520,10,18,.556,3,7,.429,0,0,,2,6,8,8,2,0,2,3,29,24.3
668,LeBron James\jamesle01,23-043,F-G,2008-02-11,CLE,@,ORL,W,1,44,8,15,.533,7,13,.538,1,2,.500,12,15,.800,1,6,7,10,3,1,5,3,29,27.5
669,Dirk Nowitzki\nowitdi01,29-232,F,2008-02-06,DAL,,MIL,W,1,42,9,17,.529,8,16,.500,1,1,1.000,10,12,.833,3,7,10,12,0,1,2,2,29,30.4
670,LeBron James\jamesle01,23-037,F-G,2008-02-05,CLE,,BOS,W,1,42,11,21,.524,7,13,.538,4,8,.500,7,10,.700,1,8,9,12,5,2,7,5,33,30.4
671,LeBron James\jamesle01,23-034,F-G,2008-02-02,CLE,,LAC,W,1,44,8,19,.421,7,15,.467,1,4,.250,11,16,.688,0,11,11,7,2,1,3,2,28,23.0
672,Richard Hamilton\hamilri01,29-345,G-F,2008-01-25,DET,,ORL,W,1,40,14,22,.636,12,19,.632,2,3,.667,2,3,.667,2,6,8,8,2,0,3,4,32,28.0
673,Kirk Hinrich\hinriki01,27-021,G,2008-01-23,CHI,,IND,W,1,41,14,21,.667,10,16,.625,4,5,.800,6,6,1.000,1,6,7,10,2,0,4,4,38,34.8
674,Chauncey Billups\billuch01,31-115,G,2008-01-18,DET,,SAC,L,1,40,7,14,.500,4,8,.500,3,6,.500,11,11,1.000,1,7,8,10,2,0,0,2,28,32.0
675,LeBron James\jamesle01,23-018,F-G,2008-01-17,CLE,@,SAS,W,1,39,9,24,.375,8,19,.421,1,5,.200,8,12,.667,3,6,9,7,0,2,3,1,27,19.0
676,LeBron James\jamesle01,23-016,F-G,2008-01-15,CLE,@,MEM,W,1,47,18,28,.643,12,16,.750,6,12,.500,9,16,.563,3,5,8,9,3,1,4,1,51,45.0
677,LeBron James\jamesle01,23-012,F-G,2008-01-11,CLE,,CHA,W,1,50,10,20,.500,8,13,.615,2,7,.286,9,15,.600,5,14,19,8,4,3,8,3,31,28.8
678,John Salmons\salmojo01,28-029,G,2008-01-10,SAC,,MEM,W,1,44,12,21,.571,12,17,.706,0,4,.000,4,5,.800,4,7,11,7,0,0,2,0,28,25.5
679,Hedo Turkoglu\turkohe01,28-296,F,2008-01-09,ORL,@,LAC,W,1,42,9,18,.500,8,12,.667,1,6,.167,9,10,.900,0,7,7,7,0,0,2,2,28,22.8
680,LeBron James\jamesle01,23-007,F-G,2008-01-06,CLE,@,TOR,W,1,46,14,29,.483,10,21,.476,4,8,.500,7,12,.583,3,8,11,8,0,0,1,1,39,31.0
681,Dwyane Wade\wadedw01,25-345,G,2007-12-28,MIA,,ORL,L,1,52,16,21,.762,16,21,.762,0,0,,16,23,.696,0,7,7,11,3,3,5,4,48,45.2
682,Gerald Wallace\wallage01,25-156,F,2007-12-26,CHA,,WAS,L,1,44,11,21,.524,10,18,.556,1,3,.333,9,12,.750,0,9,9,8,2,1,2,1,32,29.1
683,Kobe Bryant\bryanko01,29-122,G-F,2007-12-23,LAL,@,NYK,W,1,41,14,28,.500,9,16,.563,5,12,.417,6,7,.857,2,9,11,8,2,0,2,2,39,33.5
684,Caron Butler\butleca01,27-281,F,2007-12-19,WAS,,CHI,L,1,40,11,26,.423,8,17,.471,3,9,.333,4,4,1.000,3,8,11,10,3,0,3,3,29,25.5
685,Michael Redd\reddmi01,28-110,G,2007-12-12,MIL,,ORL,W,1,44,9,17,.529,7,14,.500,2,3,.667,7,8,.875,0,10,10,9,0,0,5,0,27,22.6
686,Grant Hill\hillgr01,35-058,F-G,2007-12-02,PHO,@,NYK,W,1,36,13,17,.765,12,15,.800,1,2,.500,1,1,1.000,4,4,8,7,3,0,4,4,28,27.6
687,Jamaal Tinsley\tinslja01,29-277,G,2007-12-02,IND,@,LAC,W,1,37,10,20,.500,7,17,.412,3,3,1.000,6,6,1.000,2,5,7,7,3,0,3,0,29,26.8
688,Chris Paul\paulch01,22-209,G,2007-12-01,NOH,,DAL,W,1,49,11,25,.440,10,22,.455,1,3,.333,10,10,1.000,1,8,9,12,3,0,2,5,33,30.4
689,Tony Parker\parketo01,25-195,G,2007-11-28,SAS,,WAS,W,1,35,12,18,.667,12,16,.750,0,2,.000,5,7,.714,0,8,8,11,0,1,2,1,29,28.8
690,Vince Carter\cartevi01,30-305,G-F,2007-11-27,NJN,,MEM,L,1,40,11,23,.478,9,16,.563,2,7,.286,8,9,.889,1,8,9,7,1,0,1,3,32,26.7
691,LeBron James\jamesle01,22-330,F-G,2007-11-25,CLE,@,IND,W,1,36,10,21,.476,9,15,.600,1,6,.167,9,15,.600,3,8,11,10,4,1,2,1,30,30.7
692,LeBron James\jamesle01,22-329,F-G,2007-11-24,CLE,,TOR,W,1,45,14,29,.483,12,21,.571,2,8,.250,7,8,.875,3,9,12,12,3,1,4,3,37,33.6
693,Baron Davis\davisba01,28-224,G,2007-11-23,GSW,@,WAS,W,1,41,11,21,.524,6,13,.462,5,8,.625,6,9,.667,3,8,11,15,0,0,1,3,33,34.3
694,LeBron James\jamesle01,22-325,F-G,2007-11-20,CLE,,MIL,L,1,44,11,22,.500,10,15,.667,1,7,.143,11,12,.917,0,7,7,7,1,1,3,4,34,26.7
695,LeBron James\jamesle01,22-321,F-G,2007-11-16,CLE,,UTA,W,1,40,13,27,.481,12,24,.500,1,3,.333,13,15,.867,2,8,10,9,0,3,5,3,40,31.5
696,LeBron James\jamesle01,22-319,F-G,2007-11-14,CLE,,ORL,L,1,47,15,27,.556,13,23,.565,2,4,.500,7,9,.778,4,9,13,14,0,2,4,1,39,37.6
697,Kobe Bryant\bryanko01,29-078,G-F,2007-11-09,LAL,,MIN,W,1,40,9,19,.474,6,11,.545,3,8,.375,9,10,.900,1,6,7,7,4,0,5,1,30,25.9
698,LeBron James\jamesle01,22-312,F-G,2007-11-07,CLE,@,UTA,L,1,41,12,27,.444,11,23,.478,1,4,.250,7,15,.467,2,13,15,13,3,2,4,4,32,27.9
699,LeBron James\jamesle01,22-307,F-G,2007-11-02,CLE,,NYK,W,1,44,13,28,.464,10,23,.435,3,5,.600,16,22,.727,3,4,7,7,3,1,3,1,45,36.7
700,Andre Miller\millean02,31-030,G,2007-04-18,PHI,@,TOR,W,1,48,8,15,.533,8,14,.571,0,1,.000,13,15,.867,1,8,9,8,1,0,4,3,29,25.4
701,Vince Carter\cartevi01,30-080,G-F,2007-04-16,NJN,@,NYK,W,1,41,7,14,.500,4,9,.444,3,5,.600,12,13,.923,3,9,12,10,2,0,5,2,29,29.6
702,Tracy McGrady\mcgratr01,27-327,F-G,2007-04-16,HOU,,PHO,W,1,41,14,31,.452,11,24,.458,3,7,.429,8,11,.727,4,7,11,9,2,0,6,3,39,27.7
703,Elton Brand\brandel01,28-035,F,2007-04-15,LAC,,SAC,L,1,47,9,14,.643,9,14,.643,0,0,,11,12,.917,6,8,14,7,2,3,2,4,29,34.4
704,Jason Richardson\richaja01,26-085,G,2007-04-15,GSW,,MIN,W,1,37,11,17,.647,7,10,.700,4,7,.571,6,7,.857,4,8,12,7,3,1,1,2,32,36.1
705,Carlos Boozer\boozeca01,25-144,F-C,2007-04-13,UTA,@,DAL,W,1,38,12,19,.632,12,19,.632,0,0,,8,11,.727,5,10,15,7,0,0,3,3,32,29.5
706,Elton Brand\brandel01,28-032,F,2007-04-12,LAC,@,LAL,W,1,44,12,23,.522,12,23,.522,0,0,,8,9,.889,3,9,12,7,1,3,3,3,32,28.9
707,Corey Maggette\maggeco01,27-151,F,2007-04-12,LAC,@,LAL,W,1,43,10,15,.667,8,12,.667,2,3,.667,17,24,.708,2,6,8,9,4,1,3,4,39,39.3
708,Tracy McGrady\mcgratr01,27-322,F-G,2007-04-11,HOU,@,POR,W,1,38,10,25,.400,8,19,.421,2,6,.333,10,14,.714,0,8,8,7,3,0,1,2,32,25.4
709,Tracy McGrady\mcgratr01,27-319,F-G,2007-04-08,HOU,@,SAC,W,1,40,14,28,.500,11,22,.500,3,6,.500,9,12,.750,2,6,8,10,2,1,6,2,40,30.9
710,Vince Carter\cartevi01,30-071,G-F,2007-04-07,NJN,,WAS,W,1,47,16,28,.571,9,15,.600,7,13,.538,7,9,.778,4,12,16,10,1,3,5,2,46,42.7
711,Baron Davis\davisba01,27-358,G,2007-04-06,GSW,@,MEM,W,1,42,11,19,.579,7,10,.700,4,9,.444,5,7,.714,0,8,8,9,4,1,8,5,31,24.7
712,Gerald Wallace\wallage01,24-255,F,2007-04-04,CHA,@,WAS,W,1,44,11,20,.550,10,17,.588,1,3,.333,4,4,1.000,1,11,12,8,4,0,2,2,27,28.2
713,Baron Davis\davisba01,27-344,G,2007-03-23,GSW,,WAS,W,1,38,10,16,.625,7,10,.700,3,6,.500,11,14,.786,0,9,9,15,4,0,3,4,34,38.2
714,Vince Carter\cartevi01,30-053,G-F,2007-03-20,NJN,,DEN,L,1,37,10,24,.417,9,21,.429,1,3,.333,8,9,.889,3,4,7,9,1,0,4,6,29,20.0
715,Steve Nash\nashst01,33-035,G,2007-03-14,PHO,@,DAL,W,1,48,11,25,.440,9,19,.474,2,6,.333,8,8,1.000,1,7,8,16,1,0,5,2,32,28.1
716,LeBron James\jamesle01,22-070,F-G,2007-03-10,CLE,@,MIL,W,1,37,12,22,.545,8,16,.500,4,6,.667,4,4,1.000,0,8,8,9,3,1,6,5,32,25.8
717,LeBron James\jamesle01,22-067,F-G,2007-03-07,CLE,@,DET,W,1,51,17,31,.548,16,28,.571,1,3,.333,6,8,.750,2,5,7,8,3,1,4,4,41,31.9
718,Ray Allen\allenra02,31-229,G,2007-03-06,SEA,@,NYK,W,1,44,9,22,.409,6,13,.462,3,9,.333,8,9,.889,1,7,8,7,2,0,3,4,29,21.9
719,Kobe Bryant\bryanko01,28-195,G-F,2007-03-06,LAL,@,MIN,L,1,53,13,30,.433,10,20,.500,3,10,.300,11,13,.846,3,10,13,8,2,3,4,3,40,33.0
720,Ricky Davis\davisri01,27-164,G,2007-03-06,MIN,,LAL,W,1,56,10,23,.435,9,16,.563,1,7,.143,12,12,1.000,3,7,10,8,4,0,6,4,33,27.1
721,LeBron James\jamesle01,22-065,F-G,2007-03-05,CLE,,HOU,W,1,42,12,24,.500,9,18,.500,3,6,.500,5,9,.556,1,11,12,8,0,0,3,2,32,24.2
722,Kevin Garnett\garneke01,30-289,F-C,2007-03-04,MIN,@,BOS,L,1,51,14,28,.500,13,27,.481,1,1,1.000,4,5,.800,3,10,13,10,2,3,1,1,33,33.4
723,Jason Richardson\richaja01,26-043,G,2007-03-04,GSW,@,WAS,L,1,44,12,28,.429,8,19,.421,4,9,.444,0,2,.000,4,6,10,8,0,3,1,3,28,22.5
724,Joe Johnson\johnsjo02,25-247,G-F,2007-03-03,ATL,,NYK,L,1,49,12,24,.500,7,16,.438,5,8,.625,3,4,.750,1,7,8,7,3,0,4,3,32,25.1
725,Jermaine O'Neal\onealje01,28-137,F-C,2007-02-27,IND,,PHO,L,1,40,13,24,.542,13,24,.542,0,0,,2,2,1.000,4,9,13,7,2,6,7,1,28,25.6
726,Vince Carter\cartevi01,30-030,G-F,2007-02-25,NJN,,NYK,W,1,41,13,27,.481,10,19,.526,3,8,.375,11,12,.917,1,8,9,8,2,0,2,3,40,33.4
727,Dirk Nowitzki\nowitdi01,28-250,F,2007-02-24,DAL,,DEN,W,1,34,10,22,.455,9,20,.450,1,2,.500,10,10,1.000,2,9,11,8,0,1,4,2,31,25.2
728,Gilbert Arenas\arenagi01,25-047,G,2007-02-22,WAS,,SAC,W,1,45,12,22,.545,9,14,.643,3,8,.375,16,17,.941,2,5,7,7,3,0,9,3,43,32.6
729,Dirk Nowitzki\nowitdi01,28-239,F,2007-02-13,DAL,@,MIL,W,1,43,15,28,.536,13,22,.591,2,6,.333,6,6,1.000,3,8,11,8,2,0,2,3,38,33.3
730,Carmelo Anthony\anthoca01,22-257,F,2007-02-10,DEN,@,MIL,W,1,44,13,28,.464,12,24,.500,1,4,.250,2,4,.500,3,5,8,10,3,0,2,2,29,24.6
731,Ray Allen\allenra02,31-200,G,2007-02-05,SEA,@,WAS,L,1,44,11,27,.407,9,17,.529,2,10,.200,5,5,1.000,4,3,7,7,5,1,6,4,29,21.2
732,Carmelo Anthony\anthoca01,22-252,F,2007-02-05,DEN,,PHO,L,1,40,12,27,.444,12,25,.480,0,2,.000,7,8,.875,2,8,10,10,0,0,3,2,31,23.5
733,Vince Carter\cartevi01,30-009,G-F,2007-02-04,NJN,,ATL,L,1,45,10,18,.556,8,14,.571,2,4,.500,5,6,.833,3,4,7,8,1,2,3,2,27,25.5
734,Dwyane Wade\wadedw01,25-017,G,2007-02-03,MIA,@,MIL,W,1,42,11,17,.647,11,16,.688,0,1,.000,10,13,.769,3,5,8,11,4,1,2,1,32,36.9
735,Kobe Bryant\bryanko01,28-161,G-F,2007-01-31,LAL,@,BOS,W,1,42,13,25,.520,6,16,.375,7,9,.778,10,13,.769,1,7,8,8,0,2,2,2,43,36.5
736,Gilbert Arenas\arenagi01,25-024,G,2007-01-30,WAS,,DET,W,1,44,10,20,.500,5,8,.625,5,12,.417,11,12,.917,1,6,7,11,0,0,2,2,36,33.0
737,Antawn Jamison\jamisan01,30-230,F,2007-01-28,WAS,@,BOS,W,1,41,13,22,.591,9,14,.643,4,8,.500,4,6,.667,2,5,7,7,3,0,0,2,34,33.0
738,Dirk Nowitzki\nowitdi01,28-218,F,2007-01-23,DAL,@,ORL,W,1,39,12,17,.706,12,16,.750,0,1,.000,9,10,.900,0,10,10,8,0,0,1,3,33,31.9
739,LeBron James\jamesle01,22-020,F-G,2007-01-19,CLE,@,DEN,L,1,44,9,23,.391,9,22,.409,0,1,.000,12,14,.857,2,8,10,10,2,0,3,2,30,25.7
740,Dwyane Wade\wadedw01,25-002,G,2007-01-19,MIA,@,PHI,L,1,49,10,26,.385,9,25,.360,1,1,1.000,7,9,.778,4,7,11,9,1,0,5,2,28,19.4
741,Monta Ellis\ellismo01,21-083,G,2007-01-17,GSW,@,LAC,L,1,44,10,20,.500,8,18,.444,2,2,1.000,6,7,.857,1,6,7,7,3,1,4,5,28,22.7
742,LeBron James\jamesle01,22-017,F-G,2007-01-16,CLE,@,SEA,L,1,44,8,21,.381,7,14,.500,1,7,.143,13,15,.867,1,6,7,8,2,1,4,0,30,24.5
743,Kobe Bryant\bryanko01,28-142,G-F,2007-01-12,LAL,,ORL,W,1,40,9,15,.600,9,13,.692,0,2,.000,10,11,.909,2,6,8,7,1,0,2,3,28,26.6
744,Ricky Davis\davisri01,27-111,G,2007-01-12,MIN,@,MEM,W,1,44,8,14,.571,7,12,.583,1,2,.500,10,10,1.000,0,7,7,7,2,0,2,3,27,26.2
745,Ruben Patterson\patteru01,31-161,F,2007-01-08,MIL,@,DEN,L,1,38,13,21,.619,13,21,.619,0,0,,3,6,.500,7,5,12,7,4,0,2,3,29,30.4
746,Gilbert Arenas\arenagi01,24-364,G,2007-01-05,WAS,,LAC,W,1,43,14,26,.538,13,19,.684,1,7,.143,6,6,1.000,1,6,7,12,4,1,3,3,35,33.8
747,Kobe Bryant\bryanko01,28-134,G-F,2007-01-04,LAL,@,SAC,W,1,48,11,21,.524,8,16,.500,3,5,.600,17,20,.850,3,7,10,9,0,0,4,5,42,35.0
748,Gilbert Arenas\arenagi01,24-362,G,2007-01-03,WAS,,MIL,W,1,44,12,25,.480,8,16,.500,4,9,.444,4,5,.800,4,7,11,8,4,0,5,1,32,28.0
749,Caron Butler\butleca01,26-296,F,2007-01-03,WAS,,MIL,W,1,46,13,17,.765,12,15,.800,1,2,.500,2,2,1.000,2,5,7,9,2,1,4,3,29,29.0
750,Kevin Garnett\garneke01,30-229,F-C,2007-01-03,MIN,,SAS,W,1,47,9,23,.391,9,23,.391,0,0,,9,10,.900,2,15,17,7,0,3,4,3,27,21.8
751,Baron Davis\davisba01,27-264,G,2007-01-02,GSW,@,NOK,W,1,48,10,25,.400,9,17,.529,1,8,.125,8,13,.615,2,5,7,7,2,1,3,3,29,19.8
752,Gilbert Arenas\arenagi01,24-357,G,2006-12-29,WAS,,ORL,W,1,46,11,26,.423,10,20,.500,1,6,.167,13,14,.929,2,7,9,7,2,0,2,3,36,29.0
753,Mo Williams\willima01,24-004,G,2006-12-23,MIL,,NJN,W,1,38,11,20,.550,9,12,.750,2,8,.250,8,8,1.000,0,8,8,8,2,0,4,1,32,28.0
754,Gilbert Arenas\arenagi01,24-349,G,2006-12-21,WAS,@,SAC,W,1,46,9,23,.391,4,12,.333,5,11,.455,7,7,1.000,1,7,8,7,3,0,3,2,30,24.4
755,Mike Miller\millemi01,26-302,F-G,2006-12-18,MEM,,SEA,W,1,53,10,15,.667,5,8,.625,5,7,.714,4,7,.571,1,10,11,7,2,0,4,1,29,27.5
756,Gilbert Arenas\arenagi01,24-345,G,2006-12-17,WAS,@,LAL,W,1,49,17,32,.531,12,20,.600,5,12,.417,21,27,.778,0,8,8,8,2,0,3,3,60,47.8
757,Kobe Bryant\bryanko01,28-116,G-F,2006-12-17,LAL,,WAS,L,1,47,15,24,.625,8,13,.615,7,11,.636,8,10,.800,2,6,8,10,1,1,4,5,45,39.3
758,Chris Paul\paulch01,21-224,G,2006-12-16,NOK,,DAL,L,1,48,14,23,.609,13,22,.591,1,1,1.000,1,3,.333,0,12,12,8,0,0,2,2,30,25.1
759,Kobe Bryant\bryanko01,28-114,G-F,2006-12-15,LAL,,HOU,W,1,54,17,38,.447,12,30,.400,5,8,.625,14,16,.875,0,10,10,8,2,1,5,1,53,38.3
760,Paul Pierce\piercpa01,29-063,F-G,2006-12-15,BOS,,DEN,W,1,40,11,17,.647,5,5,1.000,6,12,.500,10,11,.909,0,8,8,9,0,0,6,3,38,31.6
761,Baron Davis\davisba01,27-241,G,2006-12-10,GSW,@,SEA,L,1,40,10,19,.526,8,16,.500,2,3,.667,6,7,.857,2,7,9,13,0,0,1,5,28,27.9
762,Jason Kidd\kiddja01,33-259,G,2006-12-07,NJN,,PHO,L,1,48,13,26,.500,10,20,.500,3,6,.500,9,9,1.000,0,14,14,14,1,0,4,5,38,34.0
763,Dwyane Wade\wadedw01,24-324,G,2006-12-07,MIA,@,SAC,W,1,44,13,27,.481,13,27,.481,0,0,,6,9,.667,0,11,11,9,3,2,3,2,32,27.3
764,LeBron James\jamesle01,21-336,F-G,2006-12-01,CLE,@,ATL,W,1,43,12,23,.522,11,20,.550,1,3,.333,6,10,.600,2,5,7,8,3,2,4,4,31,25.4
765,Carmelo Anthony\anthoca01,22-183,F,2006-11-28,DEN,,MEM,L,1,45,17,30,.567,17,28,.607,0,2,.000,3,8,.375,3,6,9,7,0,1,3,0,37,27.3
766,Dwyane Wade\wadedw01,24-314,G,2006-11-27,MIA,,PHI,W,1,45,10,18,.556,10,17,.588,0,1,.000,13,14,.929,1,6,7,13,1,2,7,2,33,30.2
767,Paul Pierce\piercpa01,29-043,F-G,2006-11-25,BOS,@,MIL,W,1,40,9,15,.600,5,9,.556,4,6,.667,12,14,.857,1,6,7,7,2,0,5,4,34,29.1
