,,,,,,Criteria,Criteria,Criteria,Criteria,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season▼,Age,Tm,Lg,TRB,AST,PTS,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,STL,BLK,TOV,PF,FG%,2P%,3P%,eFG%,FT%,TS%
49,Larry Bird\birdla01,1986-87,30,BOS,NBA,9.2,7.6,28.1,15.2,74,73,40.6,10.6,20.2,9.4,17.2,1.2,3.0,5.6,6.1,1.7,7.5,1.8,0.9,3.2,2.5,.525,.547,.400,.555,.910,.612
50,Larry Bird\birdla01,1985-86,29,BOS,NBA,9.8,6.8,25.8,15.8,82,81,38.0,9.7,19.6,8.7,17.2,1.0,2.4,5.4,6.0,2.3,7.5,2.0,0.6,3.2,2.2,.496,.506,.423,.521,.896,.580
51,Larry Bird\birdla01,1984-85,28,BOS,NBA,10.5,6.6,28.7,15.7,80,77,39.5,11.5,22.0,10.8,20.4,0.7,1.6,5.0,5.7,2.1,8.5,1.6,1.2,3.1,2.6,.522,.529,.427,.538,.882,.585
52,Michael Jordan\jordami01,1984-85,21,CHI,NBA,6.5,5.9,28.2,14.0,82,82,38.3,10.2,19.8,10.1,19.2,0.1,0.6,7.7,9.1,2.0,4.5,2.4,0.8,3.5,3.5,.515,.526,.173,.518,.845,.592
53,Alex English\englial01,1981-82,28,DEN,NBA,6.8,5.3,25.4,9.5,82,82,36.8,10.4,18.9,10.4,18.8,0.0,0.1,4.5,5.4,2.6,4.2,1.1,1.5,3.2,3.2,.551,.553,.000,.551,.840,.596
54,Pete Maravich\maravpe01,1976-77,29,NOJ,NBA,5.1,5.4,31.1,6.4,73,,41.7,12.1,28.0,12.1,28.0,,,6.9,8.2,1.2,3.9,1.2,0.3,,2.6,.433,.433,,.433,.835,.492
55,Kareem Abdul-Jabbar\abdulka01,1975-76,28,LAL,NBA,16.9,5.0,27.7,17.0,82,,41.2,11.1,21.1,11.1,21.1,,,5.5,7.8,3.3,13.5,1.5,4.1,,3.6,.529,.529,,.529,.703,.567
56,Rick Barry\barryri01,1974-75,30,GSW,NBA,5.7,6.2,30.6,12.7,80,,40.4,12.9,27.7,12.9,27.7,,,4.9,5.5,1.2,4.6,2.9,0.4,,2.8,.464,.464,,.464,.904,.509
57,Rick Barry\barryri01,1973-74,29,GSW,NBA,6.8,6.1,25.1,10.4,80,,36.5,10.0,21.8,10.0,21.8,,,5.2,5.8,1.3,5.5,2.1,0.5,,3.3,.456,.456,,.456,.899,.515
58,John Havlicek\havlijo01,1971-72,31,BOS,NBA,8.2,7.5,27.5,12.4,82,,45.1,10.9,23.9,10.9,23.9,,,5.6,6.7,,,,,,2.2,.458,.458,,.458,.834,.512
59,John Havlicek\havlijo01,1970-71,30,BOS,NBA,9.0,7.5,28.9,12.5,81,,45.4,11.0,24.5,11.0,24.5,,,6.8,8.4,,,,,,2.5,.450,.450,,.450,.818,.513
60,Oscar Robertson\roberos01,1969-70,31,CIN,NBA,6.1,8.1,25.3,11.4,69,,41.5,9.4,18.4,9.4,18.4,,,6.6,8.1,,,,,,2.5,.511,.511,,.511,.809,.577
61,Oscar Robertson\roberos01,1967-68,29,CIN,NBA,6.0,9.7,29.2,12.3,65,,42.5,10.2,20.3,10.2,20.3,,,8.9,10.2,,,,,,3.1,.500,.500,,.500,.873,.588
62,Jerry West\westje01,1967-68,29,LAL,NBA,5.8,6.1,26.3,9.6,51,,37.6,9.3,18.2,9.3,18.2,,,7.7,9.5,,,,,,3.0,.514,.514,,.514,.811,.590
63,Oscar Robertson\roberos01,1966-67,28,CIN,NBA,6.2,10.7,30.5,17.4,79,,43.9,10.6,21.5,10.6,21.5,,,9.3,10.7,,,,,,2.9,.493,.493,,.493,.873,.583
64,Jerry West\westje01,1966-67,28,LAL,NBA,5.9,6.8,28.7,11.7,66,,40.5,9.8,21.0,9.8,21.0,,,9.1,10.4,,,,,,2.4,.464,.464,,.464,.878,.559
65,Wilt Chamberlain\chambwi01,1965-66,29,PHI,NBA,24.6,5.2,33.5,21.4,79,,47.3,13.6,25.2,13.6,25.2,,,6.3,12.4,,,,,,2.2,.540,.540,,.540,.513,.547
66,Jerry West\westje01,1965-66,27,LAL,NBA,7.1,6.1,31.3,17.1,79,,40.7,10.4,21.9,10.4,21.9,,,10.6,12.4,,,,,,3.1,.473,.473,,.473,.860,.573
67,Oscar Robertson\roberos01,1965-66,27,CIN,NBA,7.7,11.1,31.3,16.9,76,,46.0,10.8,22.7,10.8,22.7,,,9.8,11.6,,,,,,3.0,.475,.475,,.475,.842,.563
68,Oscar Robertson\roberos01,1964-65,26,CIN,NBA,9.0,11.5,30.4,17.0,75,,45.6,10.8,22.4,10.8,22.4,,,8.9,10.6,,,,,,2.7,.480,.480,,.480,.839,.561
